qid,replica,model,query,letter,method,parse_ok,parse_error,is_failure_letter,relevance,answerability,noise,overall,rationale,source_file
Q007,1,gemini-2.5-flash-lite,макросы в конструкторе рассылок,E,bm25,1,,0,4,3,2,4,"Контекст указывает, что макросы можно использовать в текстовых полях конструктора рассылок, но не дает подробных объяснений.",artifacts\judge_outputs\rag_5way\gemini-2.5-flash-lite\Q007_1.json
Q007,1,gpt-4o-mini,макросы в конструкторе рассылок,A,classic_dense,1,,0,3,2,2,2,"Содержит информацию о макросах, но много повторений и не полное объяснение.",artifacts\judge_outputs\rag_5way\gpt-4o-mini\Q007_1.json
Q007,1,gpt-4o-mini,макросы в конструкторе рассылок,B,bm25_heuristic,1,,0,4,3,2,3,"Предоставляет информацию о макросах в контексте рассылок, но не так подробно.",artifacts\judge_outputs\rag_5way\gpt-4o-mini\Q007_1.json
Q007,1,gpt-4o-mini,макросы в конструкторе рассылок,C,classic_dense_heuristic,1,,0,4,3,3,3,"Содержит детали о значениях макросов, но также много повторений и неясностей.",artifacts\judge_outputs\rag_5way\gpt-4o-mini\Q007_1.json
Q007,1,gpt-4o-mini,макросы в конструкторе рассылок,D,ontology_stable_baseline,1,,0,5,5,1,5,Четко объясняет использование макросов в рассылках с конкретными примерами.,artifacts\judge_outputs\rag_5way\gpt-4o-mini\Q007_1.json
Q007,1,gpt-4o-mini,макросы в конструкторе рассылок,E,bm25,1,,0,3,2,3,2,"Содержит информацию о макросах, но много отвлекающего контента и повторений.",artifacts\judge_outputs\rag_5way\gpt-4o-mini\Q007_1.json
Q008,1,claude-haiku-4-5-20251001,настройки SMS провайдера,A,ontology_stable_baseline,1,,0,5,5,1,5,"Directly addresses SMS provider configuration with specific, actionable steps for 'СМС услуги' provider including login, password/token setup, and API section navigation. Minimal noise, highly relevant and answerable.",artifacts\judge_outputs\rag_5way\claude-haiku-4-5-20251001\Q008_1.json
Q008,1,claude-haiku-4-5-20251001,настройки SMS провайдера,B,classic_dense_heuristic,1,,0,4,4,2,4,"Covers SMS provider configuration for both 'СМС услуги' and 'SMS.ru' with specific field instructions and API credentials. Some irrelevant content about provider usage in mailings, but core configuration information is present.",artifacts\judge_outputs\rag_5way\claude-haiku-4-5-20251001\Q008_1.json
Q008,1,claude-haiku-4-5-20251001,настройки SMS провайдера,C,bm25_heuristic,1,,0,3,2,2,2,Discusses SMS provider selection and default settings but lacks specific configuration instructions. Too general and incomplete for answering detailed setup questions.,artifacts\judge_outputs\rag_5way\claude-haiku-4-5-20251001\Q008_1.json
Q008,1,claude-haiku-4-5-20251001,настройки SMS провайдера,D,bm25,1,,0,1,0,5,0,Contains only section headers and titles with heavy repetition. No actual configuration content or instructions provided. Essentially all noise.,artifacts\judge_outputs\rag_5way\claude-haiku-4-5-20251001\Q008_1.json
Q008,1,claude-haiku-4-5-20251001,настройки SMS провайдера,E,classic_dense,1,,0,2,1,4,1,Mostly section headers and titles with minimal substantive content. Includes a brief definition of SMS provider but lacks configuration details. Heavy repetition and noise.,artifacts\judge_outputs\rag_5way\claude-haiku-4-5-20251001\Q008_1.json
Q008,1,gemini-2.5-flash-lite,настройки SMS провайдера,A,ontology_stable_baseline,1,,0,5,5,1,5,"Контекст напрямую отвечает на запрос, предоставляя подробные инструкции по настройке SMS-провайдера «СМС услуги», включая необходимые поля и токены.",artifacts\judge_outputs\rag_5way\gemini-2.5-flash-lite\Q008_1.json
Q008,1,gemini-2.5-flash-lite,настройки SMS провайдера,B,classic_dense_heuristic,1,,0,4,3,3,3,"Контекст частично релевантен, так как упоминает SMS-провайдеров и их особенности при настройке, но не дает полных инструкций для конкретного провайдера.",artifacts\judge_outputs\rag_5way\gemini-2.5-flash-lite\Q008_1.json
Q008,1,gemini-2.5-flash-lite,настройки SMS провайдера,C,bm25_heuristic,1,,0,3,2,3,2,"Контекст содержит общую информацию о роли SMS-провайдера в рассылках, но не предоставляет конкретных настроек или инструкций.",artifacts\judge_outputs\rag_5way\gemini-2.5-flash-lite\Q008_1.json
Q008,1,gemini-2.5-flash-lite,настройки SMS провайдера,D,bm25,1,,0,3,1,4,1,"Контекст в основном состоит из заголовков и повторений, не предоставляя полезной информации для настройки SMS-провайдера.",artifacts\judge_outputs\rag_5way\gemini-2.5-flash-lite\Q008_1.json
Q008,1,gemini-2.5-flash-lite,настройки SMS провайдера,E,classic_dense,1,,0,3,1,4,1,"Контекст содержит общие сведения об SMS-провайдерах и настройке рассылок, но не дает конкретных инструкций по настройке.",artifacts\judge_outputs\rag_5way\gemini-2.5-flash-lite\Q008_1.json
Q008,1,gpt-4o-mini,настройки SMS провайдера,A,ontology_stable_baseline,1,,0,5,5,1,5,"Кандидат A содержит конкретные инструкции по настройке SMS-провайдера, что полностью соответствует запросу.",artifacts\judge_outputs\rag_5way\gpt-4o-mini\Q008_1.json
Q008,1,gpt-4o-mini,настройки SMS провайдера,B,classic_dense_heuristic,1,,0,4,4,2,3,"Кандидат B также предоставляет информацию о настройке, но менее детализированную, чем A.",artifacts\judge_outputs\rag_5way\gpt-4o-mini\Q008_1.json
Q008,1,gpt-4o-mini,настройки SMS провайдера,C,bm25_heuristic,1,,0,3,2,3,2,"Кандидат C упоминает провайдеров, но не дает конкретных инструкций по настройке.",artifacts\judge_outputs\rag_5way\gpt-4o-mini\Q008_1.json
Q008,1,gpt-4o-mini,настройки SMS провайдера,D,bm25,1,,1,2,1,5,0,Кандидат D содержит много повторений и не предоставляет полезной информации.,artifacts\judge_outputs\rag_5way\gpt-4o-mini\Q008_1.json
Q008,1,gpt-4o-mini,настройки SMS провайдера,E,classic_dense,1,,1,2,1,4,0,Кандидат E также содержит много повторений и не дает конкретной информации о настройке.,artifacts\judge_outputs\rag_5way\gpt-4o-mini\Q008_1.json
Q009,1,claude-haiku-4-5-20251001,ход исполнения рассылок,A,bm25_heuristic,1,,0,5,4,1,4,"Directly addresses the query with clear explanation of the 'Ход исполнения рассылок' page, how to access it, and what information it contains. Minimal noise, focused content.",artifacts\judge_outputs\rag_5way\claude-haiku-4-5-20251001\Q009_1.json
Q009,1,claude-haiku-4-5-20251001,ход исполнения рассылок,B,bm25,1,,0,5,4,3,3,"Contains the same core information as A but includes significant repetition (figure captions repeated twice) and additional noise about SMS-rассылки and types of mailings, reducing clarity.",artifacts\judge_outputs\rag_5way\claude-haiku-4-5-20251001\Q009_1.json
Q009,1,claude-haiku-4-5-20251001,ход исполнения рассылок,C,classic_dense,1,,0,2,0,4,0,Only provides section headings/table of contents entries without substantive content. Cannot answer the query with only this context.,artifacts\judge_outputs\rag_5way\claude-haiku-4-5-20251001\Q009_1.json
Q009,1,claude-haiku-4-5-20251001,ход исполнения рассылок,D,classic_dense_heuristic,1,,1,0,0,0,0,Marked as no relevant context found; provides no information.,artifacts\judge_outputs\rag_5way\claude-haiku-4-5-20251001\Q009_1.json
Q009,1,claude-haiku-4-5-20251001,ход исполнения рассылок,E,ontology_stable_baseline,1,,0,1,0,4,0,"Discusses scenario setup and launch/restart/stop operations, but does not address the specific topic of tracking execution progress ('ход исполнения'). Mostly irrelevant noise.",artifacts\judge_outputs\rag_5way\claude-haiku-4-5-20251001\Q009_1.json
Q009,1,gemini-2.5-flash-lite,ход исполнения рассылок,A,bm25_heuristic,1,,0,5,4,1,4,"Контекст напрямую отвечает на запрос, описывая страницу «Ход исполнения рассылок» и ее назначение.",artifacts\judge_outputs\rag_5way\gemini-2.5-flash-lite\Q009_1.json
Q009,1,gemini-2.5-flash-lite,ход исполнения рассылок,B,bm25,1,,0,5,4,2,4,"Контекст содержит информацию о странице «Ход исполнения рассылок», но также включает много повторяющихся заголовков рисунков, что снижает его полезность.",artifacts\judge_outputs\rag_5way\gemini-2.5-flash-lite\Q009_1.json
Q009,1,gemini-2.5-flash-lite,ход исполнения рассылок,C,classic_dense,1,,0,3,1,4,1,"Контекст упоминает «Просмотр хода выполнения рассылок», но не предоставляет подробностей о том, как это сделать или что это означает.",artifacts\judge_outputs\rag_5way\gemini-2.5-flash-lite\Q009_1.json
Q009,1,gemini-2.5-flash-lite,ход исполнения рассылок,D,classic_dense_heuristic,1,,1,0,0,0,0,Контекст помечен как не содержащий релевантной информации.,artifacts\judge_outputs\rag_5way\gemini-2.5-flash-lite\Q009_1.json
Q009,1,gemini-2.5-flash-lite,ход исполнения рассылок,E,ontology_stable_baseline,1,,0,2,1,3,1,"Контекст описывает настройку сценария рассылки, но не фокусируется на ходе ее исполнения.",artifacts\judge_outputs\rag_5way\gemini-2.5-flash-lite\Q009_1.json
Q009,1,gpt-4o-mini,ход исполнения рассылок,A,bm25_heuristic,1,,0,5,5,1,4,Содержит полную информацию о ходе исполнения рассылок и как ее просмотреть.,artifacts\judge_outputs\rag_5way\gpt-4o-mini\Q009_1.json
Q009,1,gpt-4o-mini,ход исполнения рассылок,B,bm25,1,,0,5,5,2,4,"Также предоставляет информацию о ходе рассылок, но с некоторым повторением и шумом.",artifacts\judge_outputs\rag_5way\gpt-4o-mini\Q009_1.json
Q009,1,gpt-4o-mini,ход исполнения рассылок,C,classic_dense,1,,0,3,2,4,1,"Упоминает просмотр хода рассылок, но содержит много нерелевантной информации.",artifacts\judge_outputs\rag_5way\gpt-4o-mini\Q009_1.json
Q009,1,gpt-4o-mini,ход исполнения рассылок,D,classic_dense_heuristic,1,,1,0,0,0,0,Не содержит релевантного контекста.,artifacts\judge_outputs\rag_5way\gpt-4o-mini\Q009_1.json
Q009,1,gpt-4o-mini,ход исполнения рассылок,E,ontology_stable_baseline,1,,0,2,1,3,1,"Говорит о настройке сценария рассылки, но не охватывает ход исполнения.",artifacts\judge_outputs\rag_5way\gpt-4o-mini\Q009_1.json
Q010,1,claude-haiku-4-5-20251001,создание и настройки виджета,A,classic_dense_heuristic,1,,0,1,1,4,1,Mentions landing page creation/settings but is off-topic for widget creation; minimal relevant content.,artifacts\judge_outputs\rag_5way\claude-haiku-4-5-20251001\Q010_1.json
Q010,1,claude-haiku-4-5-20251001,создание и настройки виджета,B,ontology_stable_baseline,1,,0,5,4,1,5,Directly addresses widget creation and configuration with clear step-by-step instructions; highly relevant and comprehensive.,artifacts\judge_outputs\rag_5way\claude-haiku-4-5-20251001\Q010_1.json
Q010,1,claude-haiku-4-5-20251001,создание и настройки виджета,C,bm25_heuristic,1,,0,4,3,2,3,Covers widget settings and configuration details but lacks complete creation instructions; partially answers the query.,artifacts\judge_outputs\rag_5way\claude-haiku-4-5-20251001\Q010_1.json
Q010,1,claude-haiku-4-5-20251001,создание и настройки виджета,D,bm25,1,,0,1,0,5,0,"Mostly figure references and repetitive headers with minimal substantive content; high noise, low answerability.",artifacts\judge_outputs\rag_5way\claude-haiku-4-5-20251001\Q010_1.json
Q010,1,claude-haiku-4-5-20251001,создание и настройки виджета,E,classic_dense,1,,0,1,0,5,0,Fragmented text with mostly irrelevant headers and filter descriptions; does not support answering the query.,artifacts\judge_outputs\rag_5way\claude-haiku-4-5-20251001\Q010_1.json
Q010,1,gemini-2.5-flash-lite,создание и настройки виджета,A,classic_dense_heuristic,1,,0,1,0,4,1,"Кандидат А не содержит информации о создании или настройке виджетов, фокусируясь на создании лендингов.",artifacts\judge_outputs\rag_5way\gemini-2.5-flash-lite\Q010_1.json
Q010,1,gemini-2.5-flash-lite,создание и настройки виджета,B,ontology_stable_baseline,1,,0,5,4,1,5,"Кандидат В подробно описывает процесс создания и настройки виджетов для сайта, включая шаги и назначение виджетов.",artifacts\judge_outputs\rag_5way\gemini-2.5-flash-lite\Q010_1.json
Q010,1,gemini-2.5-flash-lite,создание и настройки виджета,C,bm25_heuristic,1,,0,5,4,1,4,"Кандидат С описывает отключение и редактирование настроек виджетов, включая разделение настроек на десктопную и мобильную версии.",artifacts\judge_outputs\rag_5way\gemini-2.5-flash-lite\Q010_1.json
Q010,1,gemini-2.5-flash-lite,создание и настройки виджета,D,bm25,1,,0,2,0,4,1,"Кандидат D содержит разрозненные упоминания настроек виджетов и посадочных страниц, но не дает четких инструкций по созданию и настройке виджетов.",artifacts\judge_outputs\rag_5way\gemini-2.5-flash-lite\Q010_1.json
Q010,1,gemini-2.5-flash-lite,создание и настройки виджета,E,classic_dense,1,,0,2,0,4,1,"Кандидат E содержит общие фразы, связанные с созданием виджетов и настройками, но не предоставляет конкретной информации для ответа на запрос.",artifacts\judge_outputs\rag_5way\gemini-2.5-flash-lite\Q010_1.json
Q010,1,gpt-4o-mini,создание и настройки виджета,A,classic_dense_heuristic,1,,0,2,1,3,1,"Содержит некоторую информацию о создании, но не конкретно о виджетах.",artifacts\judge_outputs\rag_5way\gpt-4o-mini\Q010_1.json
Q010,1,gpt-4o-mini,создание и настройки виджета,B,ontology_stable_baseline,1,,0,5,5,1,5,"Полностью охватывает создание и настройку виджетов, предоставляя четкие шаги.",artifacts\judge_outputs\rag_5way\gpt-4o-mini\Q010_1.json
Q010,1,gpt-4o-mini,создание и настройки виджета,C,bm25_heuristic,1,,0,4,4,2,3,"Содержит полезную информацию о настройках виджета, но не о создании.",artifacts\judge_outputs\rag_5way\gpt-4o-mini\Q010_1.json
Q010,1,gpt-4o-mini,создание и настройки виджета,D,bm25,1,,0,2,1,4,1,Содержит много повторов и не предоставляет полезной информации о создании виджетов.,artifacts\judge_outputs\rag_5way\gpt-4o-mini\Q010_1.json
Q010,1,gpt-4o-mini,создание и настройки виджета,E,classic_dense,1,,1,1,0,5,0,Не содержит релевантной информации для запроса.,artifacts\judge_outputs\rag_5way\gpt-4o-mini\Q010_1.json
